                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.80716,                0.38796,                  1.103,                0.82451,                  0.998,                0.85609,                0.69757,                0.82727,                   0.64,                 1.1509,               0.007261,               0.007261,               0.007261
                     86,                0.80437,                0.38929,                 1.0951,                0.82322,                  0.998,                0.85226,                0.69679,                0.83882,                0.64262,                 1.1527,               0.007228,               0.007228,               0.007228
                     87,                0.81056,                0.39265,                 1.1004,                0.82423,                0.98965,                0.83924,                0.68013,                 0.8492,                0.64755,                 1.1538,               0.007195,               0.007195,               0.007195
                     88,                0.81307,                0.39594,                 1.0977,                0.82749,                0.98133,                0.85383,                0.69495,                0.84543,                0.62985,                 1.1508,               0.007162,               0.007162,               0.007162
                     89,                0.81127,                0.39134,                 1.0966,                0.82369,                  0.998,                0.84382,                0.68704,                0.83158,                 0.6335,                 1.1563,               0.007129,               0.007129,               0.007129
                     90,                0.80959,                0.39294,                 1.0995,                0.82453,                 0.9976,                0.83748,                0.68038,                0.84253,                0.62396,                 1.1666,               0.007096,               0.007096,               0.007096
                     91,                0.80707,                0.38715,                 1.0981,                0.82571,                  0.998,                 0.8432,                0.68207,                0.85223,                0.66064,                 1.1562,               0.007063,               0.007063,               0.007063
                     92,                0.80715,                0.38806,                  1.095,                0.82632,                0.98133,                0.84173,                0.68481,                0.83878,                 0.6291,                 1.1551,                0.00703,                0.00703,                0.00703
                     93,                0.79186,                0.38398,                 1.0873,                  0.825,                 0.9965,                 0.8383,                0.68203,                0.84321,                0.63668,                 1.1644,               0.006997,               0.006997,               0.006997
                     94,                0.78664,                0.38213,                 1.0847,                0.82229,                0.99559,                0.83608,                0.67613,                0.84264,                0.63993,                 1.1471,               0.006964,               0.006964,               0.006964
                     95,                0.79452,                0.38965,                 1.0831,                0.82478,                0.99491,                0.84151,                0.68224,                0.85094,                0.64366,                 1.1506,               0.006931,               0.006931,               0.006931
                     96,                0.79064,                0.38968,                 1.0803,                0.82506,                  0.998,                0.84039,                0.68217,                0.84535,                0.66176,                 1.1408,               0.006898,               0.006898,               0.006898
                     97,                0.79353,                0.38051,                 1.0797,                0.82576,                0.98133,                0.84583,                0.68486,                0.83892,                0.65134,                 1.1412,               0.006865,               0.006865,               0.006865
                     98,                0.79261,                 0.3804,                 1.0866,                0.82612,                  0.998,                0.83951,                0.68225,                0.84438,                0.66053,                 1.1456,               0.006832,               0.006832,               0.006832
                     99,                0.78581,                0.38068,                 1.0777,                0.82867,                0.99808,                0.85098,                0.69555,                0.84232,                0.62431,                 1.1392,               0.006799,               0.006799,               0.006799
                    100,                0.78182,                0.38224,                  1.086,                  0.827,                0.99791,                0.84205,                0.68263,                0.83749,                0.62645,                 1.1493,               0.006766,               0.006766,               0.006766
                    101,                 0.7816,                0.37154,                 1.0798,                0.82741,                  0.998,                0.84023,                0.68281,                0.84566,                0.63864,                 1.1529,               0.006733,               0.006733,               0.006733
                    102,                  0.785,                0.38029,                 1.0753,                0.82297,                  0.998,                0.84249,                0.68523,                0.83973,                 0.6314,                 1.1361,                 0.0067,                 0.0067,                 0.0067
                    103,                0.77834,                0.37925,                 1.0745,                0.82139,                  0.998,                0.83913,                0.68459,                0.83697,                0.65002,                 1.1359,               0.006667,               0.006667,               0.006667
                    104,                0.78575,                 0.3777,                 1.0784,                0.82462,                0.98133,                 0.8391,                0.68229,                  0.843,                0.64362,                 1.1491,               0.006634,               0.006634,               0.006634
                    105,                 0.7757,                 0.3751,                 1.0744,                0.82592,                0.98133,                0.83867,                0.68185,                0.84106,                0.63715,                 1.1405,               0.006601,               0.006601,               0.006601
                    106,                0.77226,                0.37281,                 1.0641,                0.82297,                  0.998,                0.84174,                0.68229,                0.83523,                0.64077,                 1.1322,               0.006568,               0.006568,               0.006568
                    107,                0.77056,                0.37125,                 1.0684,                0.82714,                  0.998,                0.85337,                0.69859,                0.82858,                0.64083,                 1.1291,               0.006535,               0.006535,               0.006535
                    108,                 0.7767,                0.37112,                 1.0792,                 0.8286,                  0.998,                0.84758,                0.69553,                 0.8338,                0.65168,                 1.1378,               0.006502,               0.006502,               0.006502
                    109,                0.77094,                0.37384,                 1.0734,                0.82396,                0.99827,                0.84621,                0.69278,                0.83641,                0.65912,                 1.1461,               0.006469,               0.006469,               0.006469
                    110,                0.76877,                0.37057,                 1.0743,                0.82101,                0.99838,                0.85471,                0.69608,                0.84328,                0.65193,                 1.1556,               0.006436,               0.006436,               0.006436
                    111,                0.75601,                0.36564,                 1.0682,                0.82521,                0.99864,                0.84532,                0.68969,                 0.8384,                 0.6499,                   1.15,               0.006403,               0.006403,               0.006403
                    112,                0.77014,                0.36898,                  1.073,                0.82353,                  0.998,                0.85435,                 0.6994,                0.84012,                0.65113,                 1.1489,                0.00637,                0.00637,                0.00637
                    113,                0.75952,                0.36675,                 1.0742,                0.82403,                0.99854,                0.84369,                0.68928,                0.83737,                 0.6667,                 1.1484,               0.006337,               0.006337,               0.006337
                    114,                0.76042,                0.36853,                 1.0705,                  0.824,                0.99774,                0.84824,                0.69287,                0.83767,                0.65376,                 1.1449,               0.006304,               0.006304,               0.006304
